YearsCodePro,DevType,ConvertedComp,OrgSize,Year
12,Data Analyst,38844.0,100-1000,2020
4,Data Analyst,15134.0,2-9,2020
25,Data Analyst,162147.0,2-9,2020
11,Data Analyst,55128.0,100-1000,2020
35,Data Analyst,111750.0,100-1000,2020
1,Data Analyst,23782.0,1000-4999,2020
1,Data Analyst,35212.0,100-1000,2020
13,Data Analyst,70264.0,5000-9999,2020
12,Data Analyst,13164.0,2-9,2020
5,Data Analyst,27144.0,10-100,2020
3,Data Analyst,55900.0,5000-9999,2020
1,Data Analyst,32961.0,10000+,2020
15,Data Analyst,161550.0,10000+,2020
14,Data Analyst,45241.0,100-1000,2020
6,Data Analyst,45241.0,10-100,2020
18,Data Analyst,37834.0,100-1000,2020
21,Data Analyst,110000.0,10-100,2020
13,Data Analyst,505896.0,10000+,2020
15,Data Analyst,12.0,1000-4999,2020
10,Data Analyst,6600.0,100-1000,2020
9,Data Analyst,77831.0,10000+,2020
1,Data Analyst,798480.0,100-1000,2020
5,Data Analyst,36000.0,1000-4999,2020
